Magnetic,PlasmaCurrent,Elongation,Triangularity,Beta,Density,W,T
11.5,4.0,1.82,0.49,1.55,15.0,3498.5,3498.5
11.5,6.5,1.82,0.49,1.3,15.0,4988.3,4988.3
11.5,5.25,1.89,0.43,0.8,15.0,3699.9,3699.9
11.5,9.0,1.96,0.37,1.55,15.0,4961.599999999999,4961.599999999999
11.5,5.25,1.96,0.37,1.55,15.0,3335.5,3335.5
11.5,6.5,1.96,0.37,1.05,15.0,3715.3,3715.3
11.5,4.0,1.89,0.49,1.55,15.0,3632.4,3632.4
11.5,6.5,1.82,0.43,0.8,15.0,4580.9,4580.9
11.5,5.25,1.89,0.37,1.3,15.0,3370.0,3370.0
11.5,7.75,1.75,0.49,1.55,15.0,6341.9,6341.9
11.5,5.25,1.75,0.49,1.3,15.0,4545.3,4545.3
11.5,5.25,1.89,0.37,1.55,15.0,3395.9,3395.9
11.5,4.0,1.96,0.43,1.05,15.0,2851.9,2851.9
11.5,7.75,1.89,0.37,1.3,15.0,4762.2,4762.2
11.5,5.25,1.89,0.43,1.05,15.0,3653.6,3653.6
11.5,5.25,1.82,0.49,1.55,15.0,4332.8,4332.8
11.5,9.0,1.75,0.49,0.8,15.0,6547.6,6547.6
11.5,5.25,1.89,0.55,0.8,15.0,4193.0,4193.0
11.5,7.75,1.82,0.43,1.05,15.0,5268.3,5268.3
11.5,4.0,1.96,0.37,1.05,15.0,2773.5,2773.5
11.5,9.0,1.82,0.49,1.3,15.0,6745.5,6745.5
11.5,7.75,1.82,0.43,1.55,15.0,5431.2,5431.2
11.5,4.0,1.89,0.43,1.05,15.0,3073.4,3073.4
11.5,6.5,1.96,0.37,0.8,15.0,3525.1,3525.1
11.5,7.75,1.96,0.37,1.55,15.0,4492.0,4492.0
11.5,4.0,1.82,0.49,0.8,15.0,3342.8,3342.8
11.5,7.75,1.89,0.43,1.55,15.0,5214.5,5214.5
11.5,9.0,1.82,0.37,1.05,15.0,5253.099999999999,5253.099999999999
11.5,7.75,1.82,0.55,1.3,15.0,6631.9,6631.9
11.5,4.0,1.82,0.55,1.3,15.0,3951.4,3951.4
11.5,5.25,1.82,0.43,1.05,15.0,3947.9,3947.9
11.5,7.75,1.75,0.37,1.05,15.0,5128.8,5128.8
11.5,9.0,1.89,0.37,1.05,15.0,4909.5,4909.5
11.5,9.0,1.96,0.55,1.3,15.0,6612.3,6612.3
11.5,5.25,1.89,0.37,1.05,15.0,3210.2,3210.2
11.5,4.0,1.89,0.49,1.3,15.0,3473.5,3473.5
11.5,9.0,1.82,0.55,1.05,15.0,7193.5,7193.5
11.5,9.0,1.89,0.49,1.3,15.0,6325.3,6325.3
11.5,7.75,1.89,0.55,1.55,15.0,6267.599999999999,6267.599999999999
11.5,7.75,1.75,0.55,1.55,15.0,7191.0,7191.0
11.5,4.0,1.96,0.43,1.3,15.0,2996.4,2996.4
11.5,7.75,1.89,0.49,1.3,15.0,5467.5,5467.5
11.5,5.25,1.89,0.49,1.05,15.0,4112.599999999999,4112.599999999999
11.5,5.25,1.82,0.49,1.3,15.0,4303.0,4303.0
11.5,9.0,1.82,0.43,1.3,15.0,5855.7,5855.7
11.5,6.5,1.82,0.49,1.05,15.0,4858.5,4858.5
11.5,4.0,1.89,0.37,0.8,15.0,2791.3,2791.3
11.5,6.5,1.96,0.43,1.3,15.0,4458.700000000001,4458.700000000001
11.5,6.5,1.89,0.37,1.05,15.0,3794.2999999999997,3794.2999999999997
11.5,9.0,1.96,0.37,1.3,15.0,4821.1,4821.1
11.5,9.0,1.75,0.55,1.05,15.0,7035.599999999999,7035.599999999999
11.5,7.75,1.82,0.55,1.55,15.0,6662.6,6662.6
11.5,5.25,1.96,0.55,1.3,15.0,4171.400000000001,4171.400000000001
11.5,7.75,1.75,0.49,1.05,15.0,5920.6,5920.6
11.5,6.5,1.82,0.37,1.3,15.0,4312.0,4312.0
11.5,5.25,1.96,0.49,1.55,15.0,3848.0,3848.0
11.5,5.25,1.89,0.37,0.8,15.0,3251.6,3251.6
11.5,4.0,1.75,0.37,0.8,15.0,2988.0,2988.0
11.5,6.5,1.75,0.55,0.8,15.0,5401.799999999999,5401.799999999999
11.5,9.0,1.82,0.49,1.05,15.0,6576.6,6576.6
11.5,6.5,1.75,0.49,1.05,15.0,5261.2,5261.2
11.5,7.75,1.96,0.43,1.3,15.0,4858.900000000001,4858.900000000001
11.5,9.0,1.82,0.49,0.8,15.0,6408.599999999999,6408.599999999999
11.5,4.0,1.75,0.43,1.05,15.0,3403.0,3403.0
11.5,9.0,1.89,0.55,1.3,15.0,6917.5,6917.5
11.5,5.25,1.96,0.49,1.3,15.0,3817.6,3817.6
11.5,6.5,1.75,0.37,1.05,15.0,4283.299999999999,4283.299999999999
11.5,5.25,1.82,0.49,1.05,15.0,4273.1,4273.1
11.5,6.5,1.82,0.49,0.8,15.0,4932.0,4932.0
11.5,9.0,1.82,0.43,1.05,15.0,5703.1,5703.1
11.5,7.75,1.82,0.55,0.8,15.0,6172.7,6172.7
11.5,9.0,1.89,0.49,1.55,15.0,6495.4,6495.4
11.5,9.0,1.75,0.49,1.55,15.0,7050.7,7050.7
11.5,7.75,1.75,0.55,1.3,15.0,7160.2,7160.2
11.5,7.75,1.96,0.49,0.8,15.0,5048.8,5048.8
11.5,9.0,1.75,0.55,0.8,15.0,7316.8,7316.8
11.5,5.25,1.75,0.43,1.55,15.0,4297.6,4297.6
11.5,9.0,1.96,0.37,1.05,15.0,4565.7,4565.7
11.5,5.25,1.89,0.55,1.55,15.0,4469.8,4469.8
11.5,4.0,1.75,0.49,0.8,15.0,3585.7999999999997,3585.7999999999997
11.5,5.25,1.89,0.49,1.3,15.0,4060.3999999999996,4060.3999999999996
11.5,7.75,1.82,0.49,1.05,15.0,5802.1,5802.1
11.5,4.0,1.75,0.55,1.3,15.0,4082.7999999999997,4082.7999999999997
11.5,5.25,1.75,0.37,1.05,15.0,3603.4,3603.4
11.5,4.0,1.89,0.37,1.05,15.0,2921.8,2921.8
11.5,4.0,1.89,0.43,0.8,15.0,3042.7,3042.7
11.5,6.5,1.89,0.49,1.55,15.0,4818.6,4818.6
11.5,5.25,1.96,0.37,1.05,15.0,3147.4,3147.4
11.5,4.0,1.75,0.37,1.05,15.0,3014.9,3014.9
11.5,5.25,1.96,0.43,1.3,15.0,3612.2999999999997,3612.2999999999997
11.5,9.0,1.89,0.49,1.05,15.0,6297.5,6297.5
11.5,5.25,1.82,0.37,1.3,15.0,3566.2,3566.2
11.5,6.5,1.96,0.49,1.3,15.0,4488.5,4488.5
11.5,4.0,1.82,0.43,0.8,15.0,3096.0,3096.0
11.5,7.75,1.82,0.37,1.05,15.0,4833.400000000001,4833.400000000001
11.5,6.5,1.96,0.43,0.8,15.0,4123.599999999999,4123.599999999999
11.5,9.0,1.96,0.49,1.3,15.0,6046.9,6046.9
11.5,9.0,1.96,0.55,1.55,15.0,6642.8,6642.8
11.5,9.0,1.82,0.37,1.3,15.0,5275.9,5275.9
11.5,4.0,1.96,0.43,0.8,15.0,2877.4,2877.4
11.5,5.25,1.82,0.37,0.8,15.0,3382.1,3382.1
11.5,4.0,1.89,0.37,1.55,15.0,3083.2000000000003,3083.2000000000003
11.5,5.25,1.82,0.55,1.3,15.0,4612.5,4612.5
11.5,9.0,1.96,0.49,1.05,15.0,5877.0,5877.0
11.5,7.75,1.82,0.37,0.8,15.0,4710.099999999999,4710.099999999999
11.5,9.0,1.75,0.37,1.3,15.0,5619.0,5619.0
11.5,5.25,1.96,0.43,1.05,15.0,3657.9,3657.9
11.5,9.0,1.75,0.55,1.3,15.0,7217.8,7217.8
11.5,5.25,1.82,0.37,1.05,15.0,3473.8,3473.8
11.5,4.0,1.96,0.49,1.05,15.0,3506.5,3506.5
11.5,7.75,1.75,0.37,0.8,15.0,4906.7,4906.7
11.5,9.0,1.82,0.49,1.55,15.0,6773.1,6773.1
11.5,4.0,1.75,0.37,1.55,15.0,3170.7999999999997,3170.7999999999997
11.5,6.5,1.75,0.49,1.55,15.0,5419.1,5419.1
11.5,4.0,1.96,0.55,1.3,15.0,3620.1,3620.1
11.5,5.25,1.96,0.55,0.8,15.0,3836.5,3836.5
11.5,7.75,1.89,0.43,1.05,15.0,4939.2,4939.2
11.5,9.0,1.89,0.49,0.8,15.0,5987.9,5987.9
11.5,9.0,1.89,0.37,1.3,15.0,5164.6,5164.6
