Magnetic,PlasmaCurrent,Elongation,Triangularity,Beta,Density,W,T
11.5,9.0,1.89,0.43,1.3,15.0,5732.3,5732.3
11.5,9.0,1.75,0.55,1.55,15.0,7556.4,7556.4
11.5,4.0,1.96,0.49,0.8,15.0,3408.9,3408.9
11.5,9.0,1.96,0.55,0.8,15.0,6242.7,6242.7
11.5,5.25,1.82,0.43,0.8,15.0,3994.0,3994.0
11.5,7.75,1.96,0.37,1.3,15.0,4466.9,4466.9
11.5,9.0,1.82,0.43,0.8,15.0,5551.2,5551.2
11.5,7.75,1.96,0.55,1.3,15.0,6242.200000000001,6242.200000000001
11.5,7.75,1.96,0.37,1.05,15.0,4341.8,4341.8
11.5,5.25,1.96,0.49,1.05,15.0,3704.5,3704.5
11.5,4.0,1.82,0.37,1.05,15.0,3019.1,3019.1
11.5,5.25,1.75,0.37,0.8,15.0,3645.6,3645.6
11.5,9.0,1.75,0.43,0.8,15.0,5931.8,5931.8
11.5,7.75,1.89,0.37,1.55,15.0,4787.200000000001,4787.200000000001
11.5,6.5,1.82,0.43,1.55,15.0,4753.9,4753.9
11.5,7.75,1.96,0.37,0.8,15.0,4516.0,4516.0
11.5,7.75,1.82,0.43,0.8,15.0,5132.2,5132.2
11.5,7.75,1.75,0.55,1.05,15.0,7129.5,7129.5
11.5,6.5,1.89,0.37,1.55,15.0,4093.4,4093.4
11.5,9.0,1.75,0.49,1.05,15.0,6996.900000000001,6996.900000000001
11.5,9.0,1.96,0.43,1.05,15.0,5198.0,5198.0
11.5,7.75,1.96,0.49,1.05,15.0,5199.099999999999,5199.099999999999
11.5,9.0,1.96,0.43,0.8,15.0,5045.099999999999,5045.099999999999
11.5,5.25,1.96,0.37,0.8,15.0,3120.7,3120.7
11.5,9.0,1.89,0.37,1.55,15.0,5188.3,5188.3
11.5,4.0,1.82,0.55,1.55,15.0,3986.5,3986.5
11.5,9.0,1.75,0.43,1.3,15.0,6363.900000000001,6363.900000000001
11.5,6.5,1.89,0.55,0.8,15.0,5072.3,5072.3
11.5,9.0,1.89,0.43,1.55,15.0,5629.2,5629.2
11.5,9.0,1.96,0.37,0.8,15.0,4542.799999999999,4542.799999999999
11.5,4.0,1.82,0.43,1.3,15.0,3268.2000000000003,3268.2000000000003
11.5,7.75,1.75,0.49,1.3,15.0,6069.5,6069.5
11.5,6.5,1.82,0.55,1.3,15.0,5576.5,5576.5
11.5,4.0,1.89,0.43,1.55,15.0,3076.8,3076.8
11.5,7.75,1.82,0.49,1.55,15.0,6103.2,6103.2
11.5,6.5,1.82,0.49,1.55,15.0,5221.5,5221.5
11.5,9.0,1.96,0.49,1.55,15.0,6075.3,6075.3
11.5,6.5,1.96,0.49,1.55,15.0,4620.5,4620.5
11.5,4.0,1.75,0.37,1.3,15.0,3092.6,3092.6
11.5,4.0,1.75,0.43,1.3,15.0,3432.3,3432.3
11.5,4.0,1.89,0.55,1.05,15.0,3715.5,3715.5
11.5,4.0,1.96,0.43,1.55,15.0,3085.0,3085.0
11.5,7.75,1.89,0.37,0.8,15.0,4414.2,4414.2
11.5,4.0,1.75,0.55,1.05,15.0,3912.1,3912.1
11.5,6.5,1.75,0.55,1.05,15.0,5653.6,5653.6
11.5,7.75,1.82,0.55,1.05,15.0,6468.200000000001,6468.200000000001
11.5,4.0,1.96,0.55,1.05,15.0,3583.2000000000003,3583.2000000000003
11.5,9.0,1.82,0.55,0.8,15.0,7010.1,7010.1
11.5,5.25,1.96,0.49,0.8,15.0,3674.4,3674.4
11.5,4.0,1.82,0.43,1.05,15.0,3238.3,3238.3
11.5,7.75,1.75,0.49,0.8,15.0,5894.099999999999,5894.099999999999
11.5,7.75,1.96,0.43,1.55,15.0,4773.7,4773.7
11.5,9.0,1.89,0.37,0.8,15.0,4886.599999999999,4886.599999999999
11.5,4.0,1.89,0.49,0.8,15.0,3222.1000000000004,3222.1000000000004
11.5,6.5,1.96,0.43,1.05,15.0,4336.9,4336.9
11.5,5.25,1.89,0.55,1.3,15.0,4437.299999999999,4437.299999999999
11.5,5.25,1.75,0.55,1.3,15.0,4787.7,4787.7
11.5,7.75,1.75,0.37,1.3,15.0,5252.3,5252.3
11.5,6.5,1.75,0.43,1.3,15.0,5279.5,5279.5
11.5,6.5,1.89,0.49,0.8,15.0,4630.4,4630.4
11.5,6.5,1.82,0.43,1.3,15.0,4727.0,4727.0
11.5,6.5,1.82,0.37,1.55,15.0,4337.0,4337.0
11.5,7.75,1.89,0.49,0.8,15.0,5290.0,5290.0
11.5,7.75,1.82,0.37,1.3,15.0,5057.299999999999,5057.299999999999
11.5,5.25,1.82,0.43,1.3,15.0,3900.9,3900.9
11.5,5.25,1.75,0.49,1.05,15.0,4433.8,4433.8
11.5,4.0,1.82,0.37,1.3,15.0,2996.1000000000004,2996.1000000000004
11.5,4.0,1.75,0.49,1.3,15.0,3710.0,3710.0
11.5,7.75,1.82,0.49,1.3,15.0,6074.6,6074.6
11.5,7.75,1.96,0.49,1.3,15.0,5227.599999999999,5227.599999999999
11.5,6.5,1.89,0.49,1.05,15.0,4760.7,4760.7
11.5,5.25,1.82,0.43,1.55,15.0,3928.4,3928.4
11.5,4.0,1.82,0.43,1.55,15.0,3355.2,3355.2
11.5,4.0,1.96,0.55,0.8,15.0,3478.2000000000003,3478.2000000000003
11.5,9.0,1.82,0.43,1.55,15.0,6266.5,6266.5
11.5,7.75,1.75,0.43,1.3,15.0,5511.4,5511.4
11.5,5.25,1.96,0.37,1.3,15.0,3241.1,3241.1
11.5,6.5,1.82,0.55,0.8,15.0,5514.8,5514.8
11.5,7.75,1.75,0.43,1.55,15.0,5647.9,5647.9
11.5,4.0,1.89,0.43,1.3,15.0,3047.0,3047.0
11.5,4.0,1.75,0.55,0.8,15.0,3607.2999999999997,3607.2999999999997
11.5,6.5,1.89,0.37,0.8,15.0,3852.5,3852.5
11.5,4.0,1.82,0.37,1.55,15.0,3023.7,3023.7
11.5,7.75,1.96,0.55,1.55,15.0,6275.1,6275.1
11.5,4.0,1.75,0.43,0.8,15.0,3317.7,3317.7
11.5,5.25,1.75,0.55,1.05,15.0,4757.0,4757.0
11.5,5.25,1.82,0.49,0.8,15.0,4161.400000000001,4161.400000000001
11.5,6.5,1.75,0.43,1.55,15.0,5214.0,5214.0
11.5,6.5,1.96,0.55,0.8,15.0,4852.2,4852.2
11.5,6.5,1.89,0.55,1.3,15.0,5245.9,5245.9
11.5,7.75,1.96,0.49,1.55,15.0,5256.2,5256.2
11.5,5.25,1.75,0.37,1.55,15.0,3787.2,3787.2
11.5,7.75,1.89,0.43,1.3,15.0,5076.4,5076.4
11.5,4.0,1.96,0.49,1.55,15.0,3452.6,3452.6
11.5,6.5,1.75,0.49,1.3,15.0,5390.900000000001,5390.900000000001
11.5,6.5,1.82,0.55,1.05,15.0,5434.1,5434.1
11.5,4.0,1.82,0.49,1.05,15.0,3373.7,3373.7
11.5,6.5,1.75,0.43,0.8,15.0,5040.0,5040.0
11.5,7.75,1.82,0.37,1.55,15.0,4981.6,4981.6
11.5,9.0,1.89,0.55,1.55,15.0,7103.1,7103.1
11.5,5.25,1.96,0.55,1.05,15.0,4138.5,4138.5
11.5,7.75,1.82,0.49,0.8,15.0,5652.8,5652.8
11.5,6.5,1.75,0.43,1.05,15.0,4974.3,4974.3
11.5,6.5,1.96,0.37,1.55,15.0,3849.4,3849.4
11.5,6.5,1.75,0.55,1.55,15.0,6049.599999999999,6049.599999999999
11.5,6.5,1.89,0.55,1.05,15.0,5214.7,5214.7
11.5,9.0,1.96,0.49,0.8,15.0,5990.1,5990.1
11.5,5.25,1.75,0.43,0.8,15.0,3917.7,3917.7
11.5,9.0,1.75,0.43,1.05,15.0,6083.400000000001,6083.400000000001
11.5,6.5,1.96,0.49,1.05,15.0,4459.4,4459.4
11.5,9.0,1.96,0.55,1.05,15.0,6426.9,6426.9
11.5,4.0,1.96,0.37,0.8,15.0,2895.2,2895.2
11.5,4.0,1.82,0.37,0.8,15.0,2940.3,2940.3
11.5,4.0,1.75,0.43,1.55,15.0,3518.6000000000004,3518.6000000000004
11.5,7.75,1.75,0.43,0.8,15.0,5351.099999999999,5351.099999999999
11.5,6.5,1.75,0.37,1.3,15.0,4389.9,4389.9
11.5,7.75,1.89,0.49,1.05,15.0,5439.6,5439.6
11.5,5.25,1.75,0.49,1.55,15.0,4574.7,4574.7
11.5,6.5,1.89,0.43,1.55,15.0,4480.2,4480.2
11.5,7.75,1.75,0.37,1.55,15.0,5476.7,5476.7
11.5,9.0,1.82,0.37,0.8,15.0,5230.299999999999,5230.299999999999
11.5,4.0,1.89,0.55,1.3,15.0,4095.5000000000005,4095.5000000000005
11.5,4.0,1.96,0.55,1.55,15.0,3656.6,3656.6
11.5,9.0,1.96,0.43,1.3,15.0,4063.7999999999997,4063.7999999999997
11.5,4.0,1.82,0.55,1.05,15.0,3847.9,3847.9
11.5,9.0,1.75,0.49,1.3,15.0,6882.2,6882.2
11.5,6.5,1.89,0.43,1.3,15.0,4732.5,4732.5
11.5,6.5,1.96,0.37,1.3,15.0,3823.7999999999997,3823.7999999999997
11.5,9.0,1.75,0.43,1.55,15.0,6517.299999999999,6517.299999999999
11.5,6.5,1.96,0.55,1.55,15.0,5172.0,5172.0
11.5,5.25,1.89,0.43,1.3,15.0,3906.7,3906.7
11.5,9.0,1.96,0.43,1.55,15.0,5635.799999999999,5635.799999999999
11.5,7.75,1.96,0.43,0.8,15.0,4583.8,4583.8
11.5,4.0,1.96,0.37,1.3,15.0,2906.0,2906.0
11.5,6.5,1.82,0.55,1.55,15.0,5607.400000000001,5607.400000000001
11.5,7.75,1.96,0.55,0.8,15.0,6044.0,6044.0
11.5,4.0,1.75,0.49,1.05,15.0,3555.1,3555.1
11.5,5.25,1.82,0.55,1.55,15.0,4644.099999999999,4644.099999999999
11.5,7.75,1.89,0.55,1.05,15.0,6471.7,6471.7
11.5,5.25,1.82,0.55,1.05,15.0,4580.8,4580.8
11.5,5.25,1.96,0.55,1.55,15.0,4295.5,4295.5
11.5,5.25,1.89,0.49,1.55,15.0,4090.6000000000004,4090.6000000000004
11.5,6.5,1.89,0.49,1.3,15.0,4687.400000000001,4687.400000000001
11.5,6.5,1.75,0.37,0.8,15.0,4259.8,4259.8
11.5,5.25,1.82,0.37,1.55,15.0,3659.3,3659.3
11.5,4.0,1.75,0.55,1.55,15.0,4116.7,4116.7
11.5,4.0,1.89,0.37,1.3,15.0,2950.8999999999996,2950.8999999999996
11.5,6.5,1.82,0.37,0.8,15.0,4097.2,4097.2
11.5,5.25,1.75,0.49,0.8,15.0,4486.5,4486.5
11.5,7.75,1.89,0.49,1.55,15.0,5618.5,5618.5
11.5,7.75,1.96,0.55,1.05,15.0,6076.3,6076.3
11.5,4.0,1.82,0.49,1.3,15.0,3467.1,3467.1
11.5,9.0,1.89,0.55,1.05,15.0,6732.9,6732.9
11.5,6.5,1.89,0.55,1.55,15.0,5502.3,5502.3
11.5,7.75,1.75,0.43,1.05,15.0,5375.7,5375.7
11.5,4.0,1.96,0.37,1.55,15.0,2884.3,2884.3
11.5,5.25,1.96,0.43,0.8,15.0,3628.2000000000003,3628.2000000000003
11.5,9.0,1.75,0.37,1.55,15.0,5757.799999999999,5757.799999999999
11.5,4.0,1.89,0.49,1.05,15.0,3378.1,3378.1
11.5,6.5,1.82,0.37,1.05,15.0,3956.3,3956.3
11.5,7.75,1.75,0.55,0.8,15.0,6568.900000000001,6568.900000000001
11.5,7.75,1.89,0.43,0.8,15.0,4913.299999999999,4913.299999999999
11.5,6.5,1.96,0.55,1.05,15.0,4883.6,4883.6
11.5,6.5,1.96,0.43,1.55,15.0,4487.599999999999,4487.599999999999
11.5,7.75,1.89,0.55,0.8,15.0,5776.6,5776.6
11.5,5.25,1.82,0.55,0.8,15.0,4549.1,4549.1
11.5,7.75,1.82,0.43,1.3,15.0,5405.2,5405.2
11.5,9.0,1.89,0.43,0.8,15.0,5425.8,5425.8
11.5,6.5,1.75,0.55,1.3,15.0,5906.900000000001,5906.900000000001
11.5,9.0,1.89,0.43,1.05,15.0,5578.599999999999,5578.599999999999
11.5,6.5,1.75,0.49,0.8,15.0,5132.2,5132.2
11.5,6.5,1.75,0.37,1.55,15.0,4497.099999999999,4497.099999999999
11.5,5.25,1.75,0.43,1.05,15.0,4093.1,4093.1
11.5,5.25,1.96,0.43,1.55,15.0,3792.7,3792.7
11.5,5.25,1.75,0.55,1.55,15.0,4909.2,4909.2
11.5,6.5,1.82,0.43,1.05,15.0,4700.0,4700.0
11.5,5.25,1.89,0.49,0.8,15.0,4081.8,4081.8
11.5,4.0,1.96,0.49,1.3,15.0,3167.7,3167.7
11.5,5.25,1.89,0.55,1.05,15.0,4404.8,4404.8
11.5,4.0,1.75,0.49,1.55,15.0,3616.0,3616.0
11.5,9.0,1.75,0.37,0.8,15.0,5343.5,5343.5
11.5,7.75,1.89,0.37,1.05,15.0,4737.3,4737.3
11.5,6.5,1.96,0.49,0.8,15.0,4328.9,4328.9
11.5,7.75,1.89,0.55,1.3,15.0,6370.2,6370.2
11.5,4.0,1.89,0.55,0.8,15.0,3950.2999999999997,3950.2999999999997
11.5,6.5,1.89,0.43,1.05,15.0,4611.2,4611.2
11.5,5.25,1.89,0.43,1.55,15.0,4011.4,4011.4
11.5,5.25,1.75,0.55,0.8,15.0,4815.599999999999,4815.599999999999
11.5,7.75,1.96,0.43,1.05,15.0,4831.8,4831.8
11.5,5.25,1.75,0.37,1.3,15.0,3695.1,3695.1
11.5,9.0,1.75,0.37,1.05,15.0,5365.400000000001,5365.400000000001
11.5,4.0,1.82,0.55,0.8,15.0,4016.2000000000003,4016.2000000000003
11.5,6.5,1.89,0.43,0.8,15.0,4398.4,4398.4
11.5,9.0,1.82,0.55,1.55,15.0,7407.5,7407.5
11.5,6.5,1.89,0.37,1.3,15.0,3901.7,3901.7
11.5,5.25,1.75,0.43,1.3,15.0,4195.0,4195.0
11.5,9.0,1.82,0.55,1.3,15.0,7222.7,7222.7
11.5,6.5,1.96,0.55,1.3,15.0,5363.900000000001,5363.900000000001
11.5,9.0,1.89,0.55,0.8,15.0,6703.5,6703.5
11.5,9.0,1.82,0.37,1.55,15.0,5647.599999999999,5647.599999999999
11.5,4.0,1.89,0.55,1.55,15.0,3856.3999999999996,3856.3999999999996
11.5,4.0,1.82,0.49,1.55,25.0,2954.8999999999996,2954.8999999999996
11.5,6.5,1.82,0.49,1.3,25.0,3843.6,3843.6
11.5,5.25,1.89,0.43,0.8,25.0,2766.0,2766.0
11.5,9.0,1.96,0.37,1.55,25.0,3664.7,3664.7
11.5,5.25,1.96,0.37,1.55,25.0,2586.3999999999996,2586.3999999999996
11.5,6.5,1.96,0.37,1.05,25.0,2728.9,2728.9
11.5,4.0,1.89,0.49,1.55,25.0,2774.3,2774.3
11.5,6.5,1.82,0.43,0.8,25.0,3178.4,3178.4
11.5,5.25,1.89,0.37,1.3,25.0,2602.5,2602.5
11.5,7.75,1.75,0.49,1.55,25.0,4427.4,4427.4
11.5,5.25,1.75,0.49,1.3,25.0,3469.2,3469.2
11.5,5.25,1.89,0.37,1.55,25.0,2741.0,2741.0
11.5,4.0,1.96,0.43,1.05,25.0,2448.9,2448.9
11.5,7.75,1.89,0.37,1.3,25.0,3303.2,3303.2
11.5,5.25,1.89,0.43,1.05,25.0,2830.1,2830.1
11.5,5.25,1.82,0.49,1.55,25.0,3300.8,3300.8
11.5,9.0,1.75,0.49,0.8,25.0,4346.9,4346.9
11.5,5.25,1.89,0.55,0.8,25.0,3209.0,3209.0
11.5,7.75,1.82,0.43,1.05,25.0,3723.7,3723.7
11.5,4.0,1.96,0.37,1.05,25.0,2208.1,2208.1
11.5,9.0,1.82,0.49,1.3,25.0,4383.099999999999,4383.099999999999
11.5,7.75,1.82,0.43,1.55,25.0,4087.7999999999997,4087.7999999999997
11.5,4.0,1.89,0.43,1.05,25.0,2580.1,2580.1
11.5,6.5,1.96,0.37,0.8,25.0,2711.2,2711.2
11.5,7.75,1.96,0.37,1.55,25.0,3205.6,3205.6
11.5,4.0,1.82,0.49,0.8,25.0,2843.2,2843.2
11.5,7.75,1.89,0.43,1.55,25.0,3762.7999999999997,3762.7999999999997
11.5,9.0,1.82,0.37,1.05,25.0,3695.3,3695.3
11.5,7.75,1.82,0.55,1.3,25.0,4382.7,4382.7
11.5,4.0,1.82,0.55,1.3,25.0,3030.8,3030.8
11.5,5.25,1.82,0.43,1.05,25.0,2915.2999999999997,2915.2999999999997
11.5,7.75,1.75,0.37,1.05,25.0,3399.7000000000003,3399.7000000000003
11.5,9.0,1.89,0.37,1.05,25.0,3490.3,3490.3
11.5,9.0,1.96,0.55,1.3,25.0,4608.1,4608.1
11.5,5.25,1.89,0.37,1.05,25.0,2583.5,2583.5
11.5,4.0,1.89,0.49,1.3,25.0,2860.0,2860.0
11.5,9.0,1.82,0.55,1.05,25.0,4768.2,4768.2
11.5,9.0,1.89,0.49,1.3,25.0,4386.2,4386.2
11.5,7.75,1.89,0.55,1.55,25.0,4406.900000000001,4406.900000000001
11.5,7.75,1.75,0.55,1.55,25.0,4800.099999999999,4800.099999999999
11.5,4.0,1.96,0.43,1.3,25.0,2507.2000000000003,2507.2000000000003
11.5,7.75,1.89,0.49,1.3,25.0,3981.1,3981.1
11.5,5.25,1.89,0.49,1.05,25.0,3018.9,3018.9
11.5,5.25,1.82,0.49,1.3,25.0,3182.3,3182.3
11.5,9.0,1.82,0.43,1.3,25.0,4131.5,4131.5
11.5,6.5,1.82,0.49,1.05,25.0,3823.1000000000004,3823.1000000000004
11.5,4.0,1.89,0.37,0.8,25.0,2244.2000000000003,2244.2000000000003
11.5,6.5,1.96,0.43,1.3,25.0,3110.0,3110.0
11.5,6.5,1.89,0.37,1.05,25.0,2875.7000000000003,2875.7000000000003
11.5,9.0,1.96,0.37,1.3,25.0,3509.0,3509.0
11.5,9.0,1.75,0.55,1.05,25.0,3191.0,3191.0
11.5,7.75,1.82,0.55,1.55,25.0,4643.7,4643.7
11.5,5.25,1.96,0.55,1.3,25.0,3366.7,3366.7
11.5,7.75,1.75,0.49,1.05,25.0,4245.9,4245.9
11.5,6.5,1.82,0.37,1.3,25.0,3089.3,3089.3
11.5,5.25,1.96,0.49,1.55,25.0,3018.4,3018.4
11.5,5.25,1.89,0.37,0.8,25.0,2525.2,2525.2
11.5,4.0,1.75,0.37,0.8,25.0,2451.8,2451.8
11.5,6.5,1.75,0.55,0.8,25.0,4150.400000000001,4150.400000000001
11.5,9.0,1.82,0.49,1.05,25.0,4450.1,4450.1
11.5,6.5,1.75,0.49,1.05,25.0,3760.4,3760.4
11.5,7.75,1.96,0.43,1.3,25.0,3419.0,3419.0
11.5,9.0,1.82,0.49,0.8,25.0,4263.5,4263.5
11.5,4.0,1.75,0.43,1.05,25.0,2575.2999999999997,2575.2999999999997
11.5,9.0,1.89,0.55,1.3,25.0,4882.900000000001,4882.900000000001
11.5,5.25,1.96,0.49,1.3,25.0,2947.2999999999997,2947.2999999999997
11.5,6.5,1.75,0.37,1.05,25.0,3169.1,3169.1
11.5,5.25,1.82,0.49,1.05,25.0,3209.2999999999997,3209.2999999999997
11.5,6.5,1.82,0.49,0.8,25.0,3439.8,3439.8
11.5,9.0,1.82,0.43,1.05,25.0,4037.8999999999996,4037.8999999999996
11.5,7.75,1.82,0.55,0.8,25.0,4183.7,4183.7
