TE_4_t4000,TE_4_t6000,TE_4_t8000,TE_4_t10000,TE_4_t12000,TE_4_t14000,TE_1_t4000,TE_1_t6000,TE_1_t8000,TE_1_t10000,TE_1_t12000,TE_1_t14000,TW_1_t4000,TW_1_t6000,TW_1_t8000,TW_1_t10000,TW_1_t12000,TW_1_t14000,TS_1_t4000,TS_1_t6000,TS_1_t8000,TS_1_t10000,TS_1_t12000,TS_1_t14000,TN_1_1_t4000,TN_1_1_t6000,TN_1_1_t8000,TN_1_1_t10000,TN_1_1_t12000,TN_1_1_t14000
453.5125427246094,507.6792297363281,523.8308715820312,525.5038452148438,525.3055419921875,525.1123046875,425.1789245605469,465.70947265625,511.59869384765625,517.4515991210938,517.2578735351562,517.0713500976562,319.7015380859375,434.1091613769531,473.8821716308594,489.5806579589844,489.4120788574219,489.2522277832031,303.14739990234375,358.8059387207031,438.98504638671875,448.9213562011719,448.7900390625,448.6676025390625,303.1446838378906,303.3976135253906,381.33935546875,411.5064697265625,411.4042663574219,411.3121337890625
453.97479248046875,498.3559265136719,521.4808349609375,523.4967041015625,523.2627563476562,523.0353393554688,420.0675354003906,453.63372802734375,487.9772033691406,499.4419860839844,499.23431396484375,499.03521728515625,306.1100158691406,412.4079284667969,447.2687683105469,453.9884948730469,453.8330078125,453.6858825683594,303.1454772949219,306.34295654296875,383.60638427734375,408.9360046386719,408.8210144042969,408.7169189453125,303.1438903808594,303.1407165527344,304.2373352050781,308.18438720703125,308.1728210449219,308.161865234375
450.9665832519531,490.42340087890625,522.998291015625,524.9967041015625,524.806884765625,524.6224975585938,419.2703552246094,445.7748107910156,488.2700500488281,505.76226806640625,505.5867919921875,505.4192199707031,306.4655456542969,398.4096374511719,444.09185791015625,453.8350524902344,453.7072448730469,453.5868835449219,303.1463317871094,304.2884521484375,387.9994201660156,416.6584777832031,416.5561828613281,416.4637145996094,303.1448669433594,303.14208984375,304.8266296386719,314.9076232910156,314.8922424316406,314.8782043457031
459.9463806152344,506.1034851074219,522.9407958984375,524.3609619140625,524.15966796875,523.9635620117188,439.2052307128906,467.6529541015625,505.3426818847656,511.4274597167969,511.2369384765625,511.0532531738281,361.60736083984375,444.3205261230469,467.1054382324219,475.46661376953125,475.31280517578125,475.1654968261719,303.2586364746094,393.7648010253906,443.46392822265625,448.6866760253906,448.5556945800781,448.432373046875,303.1451416015625,305.7315673828125,390.1098937988281,413.883056640625,413.7779541015625,413.6825866699219
461.9464111328125,511.09271240234375,525.35205078125,527.1238403320312,526.8404541015625,526.56396484375,444.450439453125,481.5977478027344,521.1469116210938,523.5645751953125,523.2833862304688,523.0111083984375,427.3945617675781,454.8776550292969,507.5792236328125,516.27587890625,516.0017700195312,515.7390747070312,354.0685729980469,438.1398620605469,474.75677490234375,494.53192138671875,494.28875732421875,494.0578918457031,304.0083923339844,408.24169921875,450.9939270019531,462.4296569824219,462.2324523925781,462.0467834472656
462.55426025390625,508.9889221191406,522.7855834960938,523.7799682617188,523.5021362304688,523.2310180664062,444.4364929199219,476.8486022949219,508.888427734375,512.2954711914062,512.032958984375,511.77862548828125,428.44561767578125,452.984619140625,476.5794372558594,483.56634521484375,483.3468017578125,483.1351013183594,388.2124328613281,436.0409851074219,452.37799072265625,456.1089172363281,455.9288024902344,455.7554626464844,310.87030029296875,414.73760986328125,435.6968994140625,438.76837158203125,438.6086730957031,438.4566955566406
460.3702392578125,506.6697998046875,523.6300048828125,525.1819458007812,524.927490234375,524.6798095703125,424.0504150390625,467.9432067871094,509.6460266113281,515.7544555664062,515.508544921875,515.2720947265625,305.3882751464844,437.5000915527344,472.0146789550781,483.6318359375,483.42578125,483.23046875,303.1447448730469,317.9129333496094,440.4815673828125,451.7000732421875,451.52734375,451.3680419921875,303.1435241699219,303.1490478515625,329.6700439453125,366.2564697265625,366.1806945800781,366.1134033203125
460.5645446777344,498.878173828125,524.3668823242188,526.0516967773438,525.7874755859375,525.5306396484375,439.25592041015625,459.98248291015625,509.6408996582031,518.6022338867188,518.34326171875,518.0948486328125,330.81292724609375,435.31463623046875,466.2535400390625,480.4953918457031,480.2884521484375,480.09197998046875,303.16375732421875,324.3558349609375,442.11669921875,451.37933349609375,451.203125,451.0401611328125,303.1434631347656,303.2506103515625,351.8016662597656,398.7716979980469,398.6543884277344,398.54974365234375
458.6850280761719,503.40203857421875,523.7382202148438,525.3716430664062,525.1767578125,524.9869384765625,438.2946472167969,462.0438232421875,506.7537841796875,515.1080932617188,514.9201049804688,514.7391967773438,405.046142578125,440.114501953125,465.2103576660156,477.15753173828125,477.00750732421875,476.86383056640625,307.6104736328125,409.3656311035156,441.8888854980469,448.4398193359375,448.3149719238281,448.19683837890625,303.14404296875,314.3923645019531,414.3990783691406,427.4464416503906,427.3343200683594,427.2314758300781
455.57049560546875,500.6440734863281,524.03857421875,525.800537109375,525.6027221679688,525.41015625,429.5924377441406,457.28704833984375,507.4117736816406,516.738525390625,516.545654296875,516.3605346679688,323.9075622558594,429.4559631347656,462.91217041015625,477.2615051269531,477.1070251464844,476.9604797363281,303.1443176269531,329.3175354003906,433.9638366699219,443.7509460449219,443.62371826171875,443.5059509277344,303.14471435546875,303.1392822265625,352.2157287597656,393.7973327636719,393.71099853515625,393.63397216796875
